subid,subage,condition,trial,agent,novel,familiar,pick,position_novel,pick_src,correct,rt,test_date,experimenter,keep_drop,sex,dob,age_num,check_age
190307_3_me,4,basic_me,train1,Elephant,car,t13,car,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/car.png,1,5951,2019-03-07,MM,keep,F,2014-08-02,4.597260273972603,TRUE
190307_3_me,4,basic_me,train2,Pig,ball,t10,ball,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/ball.png,1,5236,2019-03-07,MM,keep,F,2014-08-02,4.597260273972603,TRUE
190307_3_me,4,basic_me,1,Dog,t20,papaya,t20,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t20.png,1,5584,2019-03-07,MM,keep,F,2014-08-02,4.597260273972603,TRUE
190307_3_me,4,basic_me,2,Tiger,t19,garlic,t19,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t19.png,1,5256,2019-03-07,MM,keep,F,2014-08-02,4.597260273972603,TRUE
190307_3_me,4,basic_me,3,Cat,t17,carrot,t17,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t17.png,1,5221,2019-03-07,MM,keep,F,2014-08-02,4.597260273972603,TRUE
190307_3_me,4,basic_me,4,Bunny,t14,kite,t14,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t14.png,1,5747,2019-03-07,MM,keep,F,2014-08-02,4.597260273972603,TRUE
190307_3_me,4,basic_me,5,Elephant,t07,barrel,barrel,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/barrel.png,0,5664,2019-03-07,MM,keep,F,2014-08-02,4.597260273972603,TRUE
190307_3_me,4,basic_me,6,Monkey,t09,bread,t09,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t09.png,1,5522,2019-03-07,MM,keep,F,2014-08-02,4.597260273972603,TRUE
190307_3_me,4,basic_me,7,Frog,t12,duck,t12,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t12.png,1,5366,2019-03-07,MM,keep,F,2014-08-02,4.597260273972603,TRUE
190307_3_me,4,basic_me,8,Mouse,t11,horseshoe,horseshoe,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/horseshoe.png,0,5496,2019-03-07,MM,keep,F,2014-08-02,4.597260273972603,TRUE
190307_3_me,4,basic_me,9,Sheep,t03,pawn,t03,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t03.png,1,5082,2019-03-07,MM,keep,F,2014-08-02,4.597260273972603,TRUE
190307_3_me,4,basic_me,10,Bear,t16,apple,t16,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t16.png,1,5385,2019-03-07,MM,keep,F,2014-08-02,4.597260273972603,TRUE
