subid,subage,trial,agent,discourseNovel,mutExNovel,pick,novelObject,correct,age_num,age,alignment,item
190510_1_com,4,1,Cat,right,right,t12,t12,1,4.265525114155251,2.2301369863013694,congruent,duck
190510_1_com,4,2,Pig,left,left,plug,t21,0,4.265525114155251,2.2301369863013694,congruent,plug
190510_1_com,4,3,Beaver,right,left,t01,t01,1,4.265525114155251,2.2301369863013694,incongruent,barrel
190510_1_com,4,4,Monkey,left,left,t11,t11,1,4.265525114155251,2.2301369863013694,congruent,carrot
190510_1_com,4,5,Dog,left,right,t03,t03,1,4.265525114155251,2.2301369863013694,incongruent,pawn
190510_1_com,4,6,Bear,right,left,t07,t07,1,4.265525114155251,2.2301369863013694,incongruent,bread
190510_1_com,4,7,Bunny,left,right,t02,t02,1,4.265525114155251,2.2301369863013694,incongruent,eggplant
190510_1_com,4,8,Elephant,right,right,t16,t16,1,4.265525114155251,2.2301369863013694,congruent,garlic
190510_1_com,4,9,Mouse,right,right,t04,t04,1,4.265525114155251,2.2301369863013694,congruent,apple
190510_1_com,4,10,Tiger,left,right,t08,t08,1,4.265525114155251,2.2301369863013694,incongruent,kite
190510_1_com,4,11,Frog,left,left,horseshoe,t20,0,4.265525114155251,2.2301369863013694,congruent,horseshoe
190510_1_com,4,12,Sheep,right,left,papaya,t15,0,4.265525114155251,2.2301369863013694,incongruent,papaya
190510_2_com,4,1,Dog,right,right,pawn,t21,0,4.029908675799087,1.9945205479452053,congruent,pawn
190510_2_com,4,2,Bear,right,left,t08,t08,1,4.029908675799087,1.9945205479452053,incongruent,duck
190510_2_com,4,3,Monkey,left,right,t19,t19,1,4.029908675799087,1.9945205479452053,incongruent,apple
190510_2_com,4,4,Sheep,left,left,t07,t07,1,4.029908675799087,1.9945205479452053,congruent,eggplant
190510_2_com,4,5,Tiger,left,left,papaya,t16,0,4.029908675799087,1.9945205479452053,congruent,papaya
190510_2_com,4,6,Beaver,right,left,t13,t13,1,4.029908675799087,1.9945205479452053,incongruent,bread
190510_2_com,4,7,Pig,left,left,t15,t15,1,4.029908675799087,1.9945205479452053,congruent,horseshoe
190510_2_com,4,8,Bunny,right,left,plug,t20,0,4.029908675799087,1.9945205479452053,incongruent,plug
190510_2_com,4,9,Elephant,left,right,t11,t11,1,4.029908675799087,1.9945205479452053,incongruent,carrot
190510_2_com,4,10,Frog,right,right,t01,t01,1,4.029908675799087,1.9945205479452053,congruent,garlic
190510_2_com,4,11,Cat,right,right,t04,t04,1,4.029908675799087,1.9945205479452053,congruent,kite
190510_2_com,4,12,Mouse,left,right,t03,t03,1,4.029908675799087,1.9945205479452053,incongruent,barrel
190516_2_com,3,1,Dog,right,right,pawn,t12,0,3.3833333333333333,1.3479452054794518,congruent,pawn
