subid,subage,trial,agent,novel,pick,leftObject,rightObject,correct,age_num,age_num_month,age_month,experiment,age
190411_4_nov,2,1,Beaver,left,t05,t06,t05,0,2.8109589041095893,2.8333333333333335,0.8333333333333335,dis_novelty,0.7945205479452055
190411_4_nov,2,2,Tiger,right,t21,t07,t21,1,2.8109589041095893,2.8333333333333335,0.8333333333333335,dis_novelty,0.7945205479452055
190411_4_nov,2,3,Mouse,left,t04,t10,t04,0,2.8109589041095893,2.8333333333333335,0.8333333333333335,dis_novelty,0.7945205479452055
190411_4_nov,2,4,Monkey,right,t12,t15,t12,1,2.8109589041095893,2.8333333333333335,0.8333333333333335,dis_novelty,0.7945205479452055
190411_4_nov,2,5,Pig,left,t11,t09,t11,0,2.8109589041095893,2.8333333333333335,0.8333333333333335,dis_novelty,0.7945205479452055
190411_5_nov,4,1,Elephant,left,t22,t12,t22,0,4.906849315068493,4.916666666666667,2.916666666666667,dis_novelty,2.8904109589041096
190411_5_nov,4,2,Dog,left,t14,t14,t01,1,4.906849315068493,4.916666666666667,2.916666666666667,dis_novelty,2.8904109589041096
190411_5_nov,4,3,Frog,left,t18,t18,t20,1,4.906849315068493,4.916666666666667,2.916666666666667,dis_novelty,2.8904109589041096
190411_5_nov,4,4,Beaver,left,t16,t16,t19,1,4.906849315068493,4.916666666666667,2.916666666666667,dis_novelty,2.8904109589041096
190411_5_nov,4,5,Tiger,right,t15,t10,t15,1,4.906849315068493,4.916666666666667,2.916666666666667,dis_novelty,2.8904109589041096
190411_5_nov,4,6,Monkey,right,t17,t11,t17,1,4.906849315068493,4.916666666666667,2.916666666666667,dis_novelty,2.8904109589041096
190411_5_nov,4,7,Bear,right,t02,t04,t02,1,4.906849315068493,4.916666666666667,2.916666666666667,dis_novelty,2.8904109589041096
190411_5_nov,4,8,Bunny,left,t13,t13,t03,1,4.906849315068493,4.916666666666667,2.916666666666667,dis_novelty,2.8904109589041096
190411_5_nov,4,9,Cat,right,t06,t08,t06,1,4.906849315068493,4.916666666666667,2.916666666666667,dis_novelty,2.8904109589041096
190411_5_nov,4,10,Pig,right,t07,t09,t07,1,4.906849315068493,4.916666666666667,2.916666666666667,dis_novelty,2.8904109589041096
190411_7_nov,4,1,Dog,right,t02,t07,t02,1,4.52054794520548,4.5,2.5,dis_novelty,2.504109589041096
190411_7_nov,4,2,Mouse,left,t21,t06,t21,0,4.52054794520548,4.5,2.5,dis_novelty,2.504109589041096
190411_7_nov,4,3,Bunny,left,t19,t11,t19,0,4.52054794520548,4.5,2.5,dis_novelty,2.504109589041096
190411_7_nov,4,4,Beaver,right,t18,t15,t18,1,4.52054794520548,4.5,2.5,dis_novelty,2.504109589041096
190411_7_nov,4,5,Cat,right,t16,t08,t16,1,4.52054794520548,4.5,2.5,dis_novelty,2.504109589041096
190411_7_nov,4,6,Frog,right,t13,t01,t13,1,4.52054794520548,4.5,2.5,dis_novelty,2.504109589041096
190411_7_nov,4,7,Sheep,left,t12,t12,t22,1,4.52054794520548,4.5,2.5,dis_novelty,2.504109589041096
190411_7_nov,4,8,Tiger,right,t20,t04,t20,1,4.52054794520548,4.5,2.5,dis_novelty,2.504109589041096
190411_7_nov,4,9,Elephant,right,t09,t10,t09,1,4.52054794520548,4.5,2.5,dis_novelty,2.504109589041096
190411_7_nov,4,10,Monkey,left,t03,t03,t17,1,4.52054794520548,4.5,2.5,dis_novelty,2.504109589041096
190411_8_nov,4,1,Bunny,left,t06,t06,t19,1,4.663013698630137,4.666666666666667,2.666666666666667,dis_novelty,2.6465753424657534
190411_8_nov,4,2,Elephant,left,t14,t14,t21,1,4.663013698630137,4.666666666666667,2.666666666666667,dis_novelty,2.6465753424657534
