iteration,a,b,c,d,e,f
0,log_like,pragmatics,parameter_free,NA,-1978.9275370554046,-862.8574923251268
0,log_like,pragmatics,noise,NA,-1484.0753875203363,-862.8574923251268
0,log_like,pragmatics_global,parameter_free,NA,-1926.5318568373068,-862.8574923251268
0,log_like,pragmatics_global,noise,NA,-1477.5109349943416,-862.8574923251268
0,log_like,flat_prior,parameter_free,NA,-1787.5948507770643,-862.8574923251268
0,log_like,flat_prior,noise,NA,-1562.8651871780157,-862.8574923251268
0,log_like,prior_only,parameter_free,NA,-1727.4423410296524,-862.8574923251268
0,log_like,prior_only,noise,NA,-1446.2131919459705,-862.8574923251268
0,parameter,items,papaya,2.2748704857727784,1.0966222300101176,-862.8574923251268
0,parameter,items,garlic,2.214100279275915,0.9708543167556423,-862.8574923251268
0,parameter,items,carrot,2.2157822775166385,0.5334187624841359,-862.8574923251268
0,parameter,items,kite,2.1537539798347485,0.8811893359254135,-862.8574923251268
0,parameter,items,barrel,2.901162200085788,0.9255135588985173,-862.8574923251268
0,parameter,items,bread,1.8784794236085298,1.0227928888070776,-862.8574923251268
0,parameter,items,duck,2.835356256489977,0.5466351934936576,-862.8574923251268
0,parameter,items,horseshoe,2.69672266691978,1.212446384178524,-862.8574923251268
0,parameter,items,pawn,2.8556308395453436,0.4344798985493864,-862.8574923251268
0,parameter,items,apple,1.758012525211794,0.7223708882561422,-862.8574923251268
0,parameter,items,plug,1.9660235908871766,0.32975987378787014,-862.8574923251268
0,parameter,items,eggplant,1.8308372362608698,1.4327599526757644,-862.8574923251268
0,parameter,parameters,speaker_optimality,-0.5660501786382968,0.21469720483038923,-862.8574923251268
0,parameter,parameters,global_sem,1.884938542232132,0.6942777706953525,-862.8574923251268
0,parameter,sigma,global_sem_sigmas,0.5214374648731197,0.40892332688873667,-862.8574923251268
0,parameter,sigma,global_subject_sigmas,NA,0.12385497545989788,-862.8574923251268
1,log_like,pragmatics,parameter_free,NA,-1978.9275370554046,-862.7124931627
1,log_like,pragmatics,noise,NA,-1484.0753875203363,-862.7124931627
1,log_like,pragmatics_global,parameter_free,NA,-1926.5318568373068,-862.7124931627
1,log_like,pragmatics_global,noise,NA,-1477.5109349943416,-862.7124931627
1,log_like,flat_prior,parameter_free,NA,-1787.5948507770643,-862.7124931627
1,log_like,flat_prior,noise,NA,-1562.8651871780157,-862.7124931627
1,log_like,prior_only,parameter_free,NA,-1727.4423410296524,-862.7124931627
1,log_like,prior_only,noise,NA,-1446.2131919459705,-862.7124931627
1,parameter,items,papaya,2.2748704857727784,1.0966222300101176,-862.7124931627
1,parameter,items,garlic,2.214100279275915,0.9708543167556423,-862.7124931627
1,parameter,items,carrot,2.2157822775166385,0.5334187624841359,-862.7124931627
1,parameter,items,kite,2.1537539798347485,0.8811893359254135,-862.7124931627
1,parameter,items,barrel,2.901162200085788,0.9255135588985173,-862.7124931627
1,parameter,items,bread,1.8784794236085298,1.0227928888070776,-862.7124931627
1,parameter,items,duck,2.835356256489977,0.5466351934936576,-862.7124931627
1,parameter,items,horseshoe,2.69672266691978,1.212446384178524,-862.7124931627
1,parameter,items,pawn,2.8556308395453436,0.4344798985493864,-862.7124931627
1,parameter,items,apple,1.758012525211794,0.7223708882561422,-862.7124931627
1,parameter,items,plug,1.9660235908871766,0.32975987378787014,-862.7124931627
1,parameter,items,eggplant,1.8308372362608698,1.4327599526757644,-862.7124931627
1,parameter,parameters,speaker_optimality,-0.5660501786382968,0.21469720483038923,-862.7124931627
1,parameter,parameters,global_sem,1.884938542232132,0.6942777706953525,-862.7124931627
1,parameter,sigma,global_sem_sigmas,0.5214374648731197,0.40892332688873667,-862.7124931627
1,parameter,sigma,global_subject_sigmas,NA,0.12385497545989788,-862.7124931627
